id,title,author,genre,year_published,average_rating
70,Diverse demand-driven complexity,Rebecca Smith,Romance,2013,3.1
71,User-friendly client-server strategy,Tina Wells,Mystery,1978,4.6
72,Automated intangible installation,Matthew Hughes,Non-Fiction,1931,1.1
73,Cloned needs-based alliance,Austin Brown,Fantasy,1906,2.9
74,Quality-focused demand-driven budgetary management,Stefanie Ross,Science Fiction,2018,2.1
75,Up-sized background system engine,Nicole Jackson,Science Fiction,1923,2.6
76,Balanced modular architecture,Lance Thomas,Fantasy,1922,4.2
77,Up-sized even-keeled open architecture,Kayla Sullivan,Science Fiction,2014,3.5
78,Multi-layered interactive portal,Matthew Johnson,Romance,1975,4.2
79,Multi-lateral stable strategy,Richard Martinez,Romance,1942,4.9
80,Balanced attitude-oriented data-warehouse,Troy Small,Fantasy,1984,3.1
81,Stand-alone 24/7 implementation,Edward Wade,Fantasy,1919,2.9
82,Horizontal demand-driven portal,Gina Moore,Non-Fiction,1904,2.7
83,Self-enabling uniform firmware,Mark Jackson,Mystery,1946,2.5
84,Distributed fresh-thinking circuit,Yvonne Schwartz,Mystery,1957,2.1
85,Seamless secondary utilization,Daniel Harris,Romance,1976,2.7
86,Quality-focused tertiary utilization,Jason Johnson,Fantasy,2016,3.7
87,Object-based bandwidth-monitored approach,Morgan Miller,Science Fiction,2018,2.0
88,Balanced human-resource concept,Justin Perez,Mystery,1984,3.7
89,Horizontal stable paradigm,Jared Roberts,Fantasy,1976,3.2
90,Seamless bottom-line moratorium,Paula Russell,Romance,1909,3.5
91,Adaptive upward-trending throughput,Diana James,Science Fiction,2019,4.3
92,Up-sized tertiary productivity,Jamie Chambers,Non-Fiction,1985,4.4
93,Profit-focused multi-tasking flexibility,Lisa Young,Romance,1946,4.7
94,Reverse-engineered disintermediate support,Meghan Salinas,Science Fiction,1970,3.4
95,Multi-layered actuating approach,Tiffany Cross,Romance,1969,3.2
96,Synergistic system-worthy hardware,Angela Lopez MD,Romance,1955,3.2
97,Decentralized attitude-oriented circuit,Courtney Smith,Science Fiction,1939,2.4
98,Automated systemic secured line,Lisa Austin,Science Fiction,2017,1.6
99,Optional exuding website,Curtis Lopez,Science Fiction,1973,2.0
100,Persevering bifurcated customer loyalty,Rebecca Hodges,Fantasy,1952,4.2
101,Virtual client-driven functionalities,Laura Garcia,Mystery,1946,4.5
102,Polarized 24hour interface,Dr. Deborah Smith,Romance,1923,3.3
103,Diverse 6thgeneration infrastructure,Rhonda Boyd,Romance,1989,4.6
104,Versatile leadingedge functionalities,Charles Roberts,Non-Fiction,1978,3.3
105,Innovative neutral instruction set,Linda Rodriguez,Romance,1950,3.2
106,Exclusive local monitoring,Monique Johnson,Mystery,1980,4.6
107,Reactive fresh-thinking database,Juan Chan,Fantasy,1963,5.0
108,Automated impactful contingency,Jacqueline Miller,Non-Fiction,1943,3.7
109,Public-key 6thgeneration model,Amy Mendoza,Science Fiction,1917,2.6
110,Progressive web-enabled knowledgebase,Thomas Jennings,Fantasy,1974,2.7
111,Assimilated attitude-oriented database,James Watson,Romance,1925,1.4
112,Versatile responsive strategy,Jason Morgan,Mystery,1944,3.3
113,Function-based exuding moratorium,Priscilla Blankenship,Fantasy,1985,2.3
114,Phased radical policy,Larry Smith,Non-Fiction,1954,2.0
115,Configurable global customer loyalty,Danielle Riggs,Science Fiction,1956,1.1
116,Reverse-engineered multi-tasking software,Lisa Love,Mystery,2000,4.1
117,Persistent demand-driven encryption,Rebecca Watson,Science Fiction,2005,4.7
118,Expanded homogeneous functionalities,Jennifer Moreno DDS,Romance,1968,2.1
119,Universal well-modulated synergy,Robert Collins,Fantasy,1946,2.3
120,Reactive 3rdgeneration emulation,Elizabeth Arnold,Romance,1986,2.0
121,Streamlined non-volatile utilization,Matthew Roach,Non-Fiction,1958,4.1
122,Multi-channeled 6thgeneration moderator,Ashley Scott,Science Fiction,1946,1.7
123,Open-architected holistic portal,John Young,Science Fiction,1946,2.1
124,Polarized content-based orchestration,Margaret Callahan,Non-Fiction,1923,4.1
125,Universal next generation initiative,Meghan Davis,Non-Fiction,1942,3.7
126,Synergized fault-tolerant Internet solution,Vanessa Ferguson,Science Fiction,1948,2.7
127,Business-focused systematic productivity,Kimberly Ramos,Romance,1949,4.4
128,Multi-lateral needs-based conglomeration,Rebecca Medina,Science Fiction,1945,3.7
129,Vision-oriented background framework,Kayla Valencia,Fantasy,1971,3.7
130,Inverse attitude-oriented Local Area Network,Julie Lopez,Fantasy,1989,4.0
131,Cloned grid-enabled policy,Michael Hunter,Science Fiction,1916,4.5
132,User-centric bottom-line workforce,Juan Vance,Mystery,2002,4.1
133,Front-line well-modulated task-force,Jonathan Green,Fantasy,2005,1.5
134,Re-contextualized empowering Local Area Network,Dillon Anderson,Science Fiction,1907,3.3
135,Total contextually-based superstructure,Andre Anderson,Science Fiction,1911,4.4
136,Intuitive executive Graphical User Interface,Kayla Walker,Science Fiction,1990,4.9
137,Focused high-level hardware,Anthony Bennett,Science Fiction,1968,2.6
138,Innovative attitude-oriented hierarchy,Victor Pearson,Fantasy,1977,2.9
139,Diverse clear-thinking projection,Brandy Abbott,Science Fiction,2002,1.9
140,Right-sized hybrid solution,Todd Cameron,Science Fiction,2022,3.3
141,Programmable holistic firmware,Willie Gibson,Mystery,1983,3.9
142,Programmable reciprocal instruction set,Sean Sullivan,Mystery,1937,1.1
143,Versatile actuating pricing structure,William Weaver,Non-Fiction,1914,4.7
144,Decentralized radical approach,Jose Little,Romance,1949,3.0
145,Integrated asynchronous interface,John Clements,Science Fiction,1918,4.3
146,Reduced demand-driven hub,Susan Trujillo,Science Fiction,1936,1.8
147,Multi-channeled next generation Graphic Interface,Steven Cain,Mystery,1953,4.8
148,Switchable hybrid methodology,Linda Davis,Non-Fiction,1914,3.5
149,User-friendly analyzing synergy,Kaitlyn Ellis,Mystery,1977,3.1
150,Fully-configurable exuding standardization,Emma Graham,Mystery,2021,4.6
151,Face-to-face multimedia process improvement,Melissa Smith,Non-Fiction,1964,5.0
152,De-engineered holistic matrix,Christine Myers,Fantasy,1903,3.5
153,Down-sized directional emulation,Valerie Johnson,Mystery,2008,4.4
154,Devolved asynchronous time-frame,Amber Romero,Mystery,1972,1.3
155,Secured zero administration implementation,Dr. Andrew Heath,Non-Fiction,1910,4.7
156,Customizable incremental complexity,Scott Anderson,Romance,1984,1.3
157,User-friendly homogeneous architecture,Paul May,Science Fiction,2011,1.8
158,Assimilated user-facing initiative,Jennifer Miranda,Romance,2003,4.3
159,Self-enabling fresh-thinking knowledge user,Crystal Nelson,Mystery,1931,4.6
160,Customizable 24hour concept,Charles Kirby,Non-Fiction,1922,2.5
161,Persistent asymmetric application,Alicia Nichols,Science Fiction,1932,3.6
162,Centralized high-level project,Louis Calderon,Mystery,1935,3.8
163,Seamless multi-tasking software,Todd Poole,Non-Fiction,1995,1.7
164,Balanced discrete application,Jennifer Morgan,Mystery,1981,2.9
165,Digitized radical conglomeration,George Garcia,Fantasy,1932,2.4
166,Enhanced 4thgeneration strategy,Barry Huang,Romance,1915,1.0
167,Phased regional policy,Julie Clark,Science Fiction,2003,2.7
168,Automated zero administration service-desk,Stanley Wilkerson,Non-Fiction,1932,1.5
169,Diverse mobile core,Denise Byrd,Romance,1920,3.2
170,Optional well-modulated time-frame,Jerry Turner MD,Fantasy,1931,4.3
171,Inverse multi-state benchmark,Christopher Davis,Mystery,2020,1.2
172,Business-focused directional artificial intelligence,Katie Reid,Non-Fiction,1949,2.3
173,Balanced human-resource open architecture,Heather Wilson,Mystery,1985,3.5
174,User-centric didactic model,James Miller,Science Fiction,1991,1.2
175,Re-engineered real-time structure,Christopher Martin,Romance,1907,1.3
176,Re-engineered interactive conglomeration,Ashley Taylor,Non-Fiction,1993,4.4
177,Vision-oriented cohesive model,Luis Davis,Mystery,1947,2.7
178,Upgradable asymmetric Internet solution,Xavier Diaz,Mystery,1995,1.1
179,Up-sized reciprocal website,Michael Peterson,Fantasy,1941,3.2
180,Mandatory 4thgeneration benchmark,Christopher Atkins,Non-Fiction,2005,3.7
181,Organic secondary system engine,Amanda Torres,Mystery,1949,4.2
182,Adaptive solution-oriented capacity,Bonnie Maxwell,Science Fiction,1944,1.1
183,Ameliorated radical solution,Laura Padilla,Fantasy,1933,4.9
184,Vision-oriented heuristic functionalities,Trevor Johnson,Mystery,1926,3.6
185,Balanced system-worthy circuit,Laura Johnson,Mystery,1949,4.7
186,Optional 3rdgeneration parallelism,Monique Beck,Non-Fiction,1933,4.6
187,Multi-lateral contextually-based methodology,Kendra Miller,Mystery,1946,4.8
188,Profound leadingedge hierarchy,Thomas Hunt,Romance,1998,2.9
189,Diverse incremental Local Area Network,Andrew Moore,Fantasy,1935,1.0
190,Re-contextualized transitional artificial intelligence,Gail Roth,Romance,1990,1.6
191,Managed optimizing strategy,Melissa Martinez,Romance,2005,1.9
192,Seamless stable hierarchy,Rebecca Johnson,Science Fiction,1961,3.3
193,Virtual zero tolerance adapter,Mary George,Science Fiction,1993,3.5
194,Upgradable secondary database,Amy Murphy,Science Fiction,1943,3.6
195,Fully-configurable directional help-desk,Janet Cantu,Non-Fiction,1984,4.4
196,Customizable solution-oriented parallelism,Mason Payne,Mystery,1919,3.1
197,Universal demand-driven moratorium,Eric Murray,Fantasy,1985,4.8
198,Assimilated clear-thinking encoding,Susan Jimenez,Romance,1956,4.9
199,Fully-configurable scalable interface,William Hensley,Romance,1919,5.0
200,Monitored secondary interface,Linda Moore,Non-Fiction,2022,4.3
201,Synergized clear-thinking ability,James Delgado,Non-Fiction,2011,2.3
202,Grass-roots human-resource time-frame,April Thomas,Romance,2009,2.6
203,Multi-lateral leadingedge core,Stacey Maldonado,Non-Fiction,1985,3.8
204,Versatile asynchronous budgetary management,Brittany Williams DVM,Non-Fiction,1962,2.1
205,Self-enabling scalable knowledgebase,Tony Rodriguez,Non-Fiction,1900,3.1
206,Compatible attitude-oriented contingency,Alicia Nelson,Science Fiction,2022,1.5
207,Cross-platform contextually-based attitude,Elizabeth Gallagher,Fantasy,2000,4.2
208,Seamless 3rdgeneration help-desk,Desiree Walls,Romance,1943,2.0
209,Persistent optimal conglomeration,Angela Mason,Mystery,2013,1.6
210,Re-contextualized didactic Graphical User Interface,Andrew Austin,Romance,1996,4.8
211,Multi-tiered bandwidth-monitored functionalities,Mr. Robert Owens,Mystery,1949,3.3
212,Synergized transitional complexity,Nathan Smith,Non-Fiction,1926,1.9
213,Centralized fault-tolerant analyzer,Albert Reyes,Fantasy,1956,3.5
214,Optional modular extranet,Blake Stevens Jr.,Romance,1993,3.9
215,Multi-layered disintermediate architecture,Samantha Lynch,Fantasy,1931,1.8
216,Up-sized discrete groupware,Joseph Harrington,Mystery,1960,1.1
217,Phased 24/7 capacity,Douglas Dennis,Romance,2003,4.6
218,Synergized 3rdgeneration hub,Kenneth Jordan,Mystery,1917,3.6
219,Upgradable 5thgeneration strategy,Wayne Lee,Non-Fiction,1933,3.0
220,Business-focused bifurcated throughput,Tina Vincent,Mystery,1961,2.9
221,Multi-tiered non-volatile flexibility,Allison Garcia,Science Fiction,1966,3.4
222,Enhanced impactful middleware,Jessica Brown,Mystery,1996,2.8
223,Multi-lateral client-server portal,Richard Madden,Mystery,1974,1.7
224,Triple-buffered cohesive pricing structure,Jessica Mclaughlin,Mystery,1982,2.1
225,Seamless transitional utilization,Pamela Morrow,Fantasy,1937,4.6
226,Distributed disintermediate middleware,Don Miller,Science Fiction,1961,3.5
227,Fully-configurable analyzing artificial intelligence,Mrs. Tina Price,Science Fiction,2005,3.3
228,Profit-focused tertiary infrastructure,Krista Richards,Mystery,1986,1.0
229,Profit-focused scalable archive,Christopher Graham,Non-Fiction,1904,2.4
230,Synergized background intranet,Jason Peterson,Science Fiction,1938,3.6
231,Re-engineered didactic customer loyalty,William Murphy,Romance,1903,2.6
232,Grass-roots 24/7 process improvement,Jason Smith,Non-Fiction,1950,1.9
233,Self-enabling interactive archive,Steven Davis,Romance,1926,4.8
234,Optimized methodical interface,James Bell,Fantasy,1908,1.4
235,Horizontal homogeneous intranet,William Phillips,Mystery,2017,3.6
236,Implemented clear-thinking flexibility,Michael Morris,Fantasy,1946,2.5
237,Horizontal even-keeled knowledgebase,Thomas Miller,Fantasy,2016,1.1
238,Focused 4thgeneration Graphic Interface,Latoya Carroll,Mystery,1936,4.8
239,Grass-roots global website,Joshua Martinez,Mystery,1909,2.7
240,Streamlined actuating middleware,Thomas Williams,Mystery,1951,2.6
241,Team-oriented system-worthy product,Isaiah Nelson,Non-Fiction,2007,2.1
242,Assimilated coherent leverage,Sherry Walton,Romance,2004,1.3
243,Networked eco-centric orchestration,Steven Arnold,Science Fiction,1938,4.0
244,Public-key methodical secured line,Shelly Johnson,Mystery,1905,3.9
245,Cross-group analyzing application,Cynthia Johnson,Science Fiction,2020,3.4
246,Pre-emptive client-driven functionalities,Kristin Navarro,Science Fiction,1928,3.4
247,Decentralized multimedia info-mediaries,Ronald Daniels,Romance,1969,1.9
248,Operative multimedia time-frame,Martin Sanchez MD,Science Fiction,1925,4.1
249,Enterprise-wide zero tolerance Graphical User Interface,Bradley Smith,Fantasy,2021,2.0
250,Profound uniform array,Justin Pacheco,Science Fiction,1929,3.1
251,Reduced foreground orchestration,Kevin Bartlett,Non-Fiction,1930,4.6
252,Ameliorated homogeneous approach,Austin Dawson,Non-Fiction,1983,4.6
253,Intuitive regional time-frame,Richard Francis,Science Fiction,1942,1.0
254,Phased optimizing website,Patricia Crane,Fantasy,1954,2.7
255,Enterprise-wide motivating matrices,Javier Guzman,Non-Fiction,1988,3.5
256,Synchronized modular Graphic Interface,Lisa Hammond,Fantasy,2004,2.6
257,Synchronized well-modulated open system,Samantha Bender,Fantasy,1975,4.1
258,Innovative object-oriented definition,Brian Gonzales,Non-Fiction,1918,4.7
259,Enhanced mission-critical orchestration,Tim Austin,Non-Fiction,1939,1.7
260,Sharable fault-tolerant budgetary management,Scott Galloway,Fantasy,1925,3.5
261,User-friendly incremental monitoring,Anna Kelly,Non-Fiction,2009,1.2
262,Visionary empowering circuit,Amanda Miller,Science Fiction,2015,1.3
263,Fundamental radical hardware,Ashley Sexton,Non-Fiction,1912,3.4
264,Object-based didactic access,Margaret Moore,Mystery,1978,4.6
265,Mandatory mobile infrastructure,Joyce Anderson,Mystery,1959,4.7
266,Intuitive solution-oriented help-desk,Mr. David Potter,Non-Fiction,2021,3.1
267,Distributed encompassing challenge,Patrick Flores,Mystery,2001,1.2
268,User-friendly even-keeled intranet,Yolanda Hernandez,Romance,1992,2.7
269,Polarized human-resource info-mediaries,Erin Carter,Fantasy,1925,2.3
270,Fully-configurable transitional open system,Kevin Sheppard,Mystery,2013,3.2
271,Virtual heuristic moderator,Christopher Robles,Romance,1916,4.6
272,Exclusive foreground instruction set,Jacob Floyd,Science Fiction,2019,1.5
273,Sharable mobile ability,Charles Howard,Science Fiction,1912,2.5
274,Grass-roots incremental initiative,Christopher Simpson,Non-Fiction,1907,4.1
275,Upgradable high-level contingency,Barbara Oconnor,Non-Fiction,1953,3.3
276,Versatile tangible synergy,Brooke Tapia,Romance,1995,1.2
277,Triple-buffered upward-trending workforce,Katherine Cannon,Science Fiction,1969,3.1
278,Function-based transitional hub,Robert Hill,Non-Fiction,1972,2.2
279,Multi-channeled empowering alliance,Patrick Snyder,Fantasy,1933,2.8
280,Inverse heuristic product,Henry Banks DDS,Non-Fiction,2015,4.3
281,Face-to-face intermediate neural-net,Miranda Schultz,Mystery,1906,4.6
282,Optional needs-based collaboration,Alexandra Thomas,Mystery,1999,1.7
283,Balanced clear-thinking benchmark,Angela Jensen,Mystery,1953,4.4
284,Down-sized dedicated encoding,Julia Kelly,Fantasy,1994,3.3
285,Pre-emptive demand-driven benchmark,Amanda Watkins,Fantasy,1962,3.4
286,Balanced intermediate projection,Eric Jones,Romance,1919,1.3
287,Operative heuristic matrix,Shannon Kaiser,Science Fiction,1905,3.9
288,Sharable static access,Jennifer Contreras,Non-Fiction,1935,1.3
289,Secured multi-state matrix,John Torres,Non-Fiction,1989,1.5
290,Persistent systematic leverage,Tracy Burke,Mystery,1969,4.4
291,Object-based secondary challenge,Dr. Laura Cruz MD,Romance,1988,4.7
292,Right-sized systematic open architecture,Chloe Waters,Science Fiction,1904,1.9
293,Triple-buffered client-server throughput,Marc Carr,Mystery,2007,1.8
294,Up-sized local encoding,Felicia Harrison,Non-Fiction,1935,3.8
295,Visionary fresh-thinking hierarchy,Michelle Bird,Non-Fiction,1995,2.8
296,Profound systemic software,Jordan Schultz,Fantasy,1973,2.1
297,Centralized disintermediate installation,Mr. Brandon Ingram PhD,Fantasy,1923,2.1
298,Decentralized didactic database,Samuel Mueller,Romance,1970,1.5
299,Fully-configurable neutral circuit,Emma Hicks,Mystery,2007,1.6
300,Synergized grid-enabled capability,Eric Savage,Fantasy,2017,1.7
301,Phased next generation firmware,Angela Rivas,Non-Fiction,2000,4.1
302,Optional attitude-oriented adapter,Rickey Roth,Fantasy,2007,2.8
303,Grass-roots content-based orchestration,Allison Nelson,Non-Fiction,2015,2.7
304,Stand-alone actuating matrices,Donna Ward,Fantasy,1971,4.5
305,Fundamental didactic capacity,Victor Young,Non-Fiction,2018,4.1
306,Organized local moderator,Alicia Wells,Fantasy,1982,3.3
307,Universal global pricing structure,Angela Ryan,Science Fiction,2007,4.0
308,Balanced modular data-warehouse,Frank Allen,Science Fiction,1917,3.1
309,Upgradable local superstructure,Jason Reyes,Romance,1957,3.2
310,Horizontal client-server moratorium,Aaron Black,Fantasy,2018,1.1
311,Upgradable didactic implementation,Kathleen Murillo,Non-Fiction,2011,4.1
312,Synergized zero tolerance process improvement,Olivia Johnson,Science Fiction,2019,3.8
313,Up-sized eco-centric complexity,Bryan Smith,Non-Fiction,1906,1.4
314,Centralized even-keeled task-force,Amy Gonzalez,Science Fiction,1920,3.1
315,Sharable actuating forecast,Dustin Chavez,Fantasy,1994,1.3
316,Upgradable coherent throughput,Nicole Miller,Romance,1955,4.6
317,Function-based logistical implementation,Lisa Cook,Mystery,1993,3.0
318,Proactive real-time service-desk,Robin Allen,Non-Fiction,1988,2.8
319,Triple-buffered homogeneous project,Robert Hicks,Mystery,2018,2.1
320,Front-line encompassing firmware,Teresa Brown,Fantasy,1987,2.4
321,Reverse-engineered real-time encryption,Raymond Long,Romance,1916,3.5
322,Reactive optimal encryption,Luis Boone,Fantasy,2005,2.1
323,Profit-focused zero administration model,Richard Welch,Romance,1994,3.6
324,Upgradable intermediate solution,Jordan Smith Jr.,Non-Fiction,1997,1.4
325,Multi-layered asymmetric application,Bradley Wheeler,Fantasy,2021,2.7
326,Stand-alone zero tolerance service-desk,Sergio Ortiz,Science Fiction,1996,3.0
327,Sharable logistical matrix,Briana Lewis,Mystery,1910,4.6
328,Ergonomic exuding contingency,Dalton Anderson,Fantasy,1919,3.4
329,Enterprise-wide dedicated array,Ryan Yoder,Romance,1908,4.0
330,Automated context-sensitive synergy,Corey Wolfe,Non-Fiction,2005,4.9
331,Enterprise-wide tangible system engine,Jason Beasley,Mystery,1983,4.2
332,Advanced explicit migration,Zachary Mcclain,Fantasy,1905,4.2
333,Adaptive incremental pricing structure,Elizabeth Walker,Mystery,1930,4.2
334,Realigned analyzing Graphic Interface,Ms. Rhonda Love,Romance,1981,3.5
335,Function-based zero-defect capacity,Diana Jimenez,Mystery,1996,3.8
336,Extended upward-trending process improvement,Brittany Roberts,Science Fiction,1936,2.2
337,Business-focused neutral website,Daniel Beasley,Non-Fiction,2016,2.3
338,Programmable systematic approach,Elizabeth Rogers,Science Fiction,1915,4.6
339,Multi-channeled contextually-based artificial intelligence,Calvin Jones,Fantasy,1915,4.0
340,Secured 24hour access,Jessica Humphrey,Science Fiction,1976,1.2
341,Exclusive 24hour superstructure,David Berger,Mystery,1994,2.6
342,Right-sized multimedia migration,Christina Calderon,Fantasy,1970,4.2
343,Upgradable disintermediate matrices,Brian Huynh,Mystery,1912,2.4
344,Persevering bandwidth-monitored attitude,Stephanie Huffman,Science Fiction,1972,1.7
345,Multi-tiered executive knowledgebase,Anthony Rodriguez,Science Fiction,1950,1.1
346,Automated fresh-thinking task-force,Sandra Irwin,Science Fiction,1991,3.4
347,Stand-alone interactive hardware,Sandra Mendez,Fantasy,1967,1.9
348,Managed client-server application,Jessica Hernandez,Science Fiction,1923,4.9
349,Pre-emptive well-modulated initiative,Aaron Madden,Science Fiction,1951,4.1
350,Organized didactic open architecture,Dillon Rose,Science Fiction,1941,1.9
351,Persevering demand-driven strategy,Adam Valencia,Non-Fiction,1961,2.9
352,Visionary maximized product,George Watts,Non-Fiction,1982,3.1
353,Realigned 4thgeneration secured line,Molly Alexander,Romance,1914,1.7
354,User-centric responsive protocol,Ryan Hood,Science Fiction,1949,1.0
355,Automated composite time-frame,Alexander Ray,Non-Fiction,1937,1.1
356,Function-based foreground definition,Gregory Smith,Romance,1972,3.8
357,Seamless 3rdgeneration parallelism,Jeffrey Owens,Non-Fiction,1964,2.7
358,Seamless 24hour secured line,Heather Morales,Romance,1998,2.2
359,Synergized content-based open system,Matthew Noble,Romance,2003,1.1
360,Centralized zero administration function,David Wolf,Science Fiction,1919,1.4
361,Decentralized system-worthy architecture,Sarah Jenkins,Fantasy,1933,4.8
362,Operative intangible monitoring,Vincent Hamilton,Non-Fiction,1927,4.1
363,Organic global superstructure,Wesley Gonzalez,Non-Fiction,1998,4.8
364,Enhanced mission-critical adapter,Victor Cummings,Mystery,1940,2.4
365,Pre-emptive upward-trending open system,Kelly Baker,Fantasy,1980,2.4
366,Assimilated contextually-based matrix,Adam Love,Science Fiction,1907,2.8
367,Versatile regional access,Mario Morrow,Science Fiction,1974,2.1
368,Inverse next generation implementation,George Friedman,Romance,1998,4.0
369,Robust user-facing algorithm,Sonya Robles,Science Fiction,1990,4.8
370,Customer-focused optimizing software,Jessica Baker,Mystery,1957,4.4
371,Horizontal attitude-oriented hardware,Diane Jones,Mystery,2009,3.1
372,Inverse 24hour attitude,Rebecca Gilmore,Non-Fiction,1994,3.9
373,Profit-focused non-volatile task-force,Edward Knight,Science Fiction,1955,4.5
374,Automated static toolset,Charles West,Science Fiction,1933,4.5
375,Inverse dynamic groupware,Kathleen Barker,Science Fiction,1950,3.9
376,Business-focused client-driven access,Mark Gutierrez,Non-Fiction,1950,3.8
377,Managed modular solution,Alexander Watson,Mystery,1997,3.9
378,Decentralized hybrid software,Samantha Taylor,Science Fiction,1909,1.9
379,Team-oriented neutral website,Molly Poole,Non-Fiction,1994,3.6
380,Enterprise-wide grid-enabled groupware,Mr. Joshua Gonzales,Mystery,1983,4.4
381,Reactive regional infrastructure,Jeanne Garcia,Science Fiction,2006,2.8
382,Robust global leverage,Sherri Roberts,Romance,1968,4.9
383,Reactive holistic system engine,David Mendez,Non-Fiction,1938,2.4
